id,0,1,2,3,4,5,6,7,8,9
img_901_1,0,1,0,0,0,0,0,0,0,0
img_901_2,0,0,0,0,0,0,1,0,0,0
img_901_3,,,,,,,,,,
img_901_4,,,,,,,,,,
img_901_5,,,,,,,,,,
img_901_6,,,,,,,,,,
img_901_7,,,,,,,,,,
img_902_1,,,,,,,,,,
img_902_2,,,,,,,,,,
img_902_3,,,,,,,,,,
img_902_4,,,,,,,,,,
img_902_5,,,,,,,,,,
img_902_6,,,,,,,,,,
img_902_7,,,,,,,,,,
img_903_1,,,,,,,,,,
img_903_2,,,,,,,,,,
img_903_3,,,,,,,,,,
img_903_4,,,,,,,,,,
img_903_5,,,,,,,,,,
img_903_6,,,,,,,,,,
img_903_7,,,,,,,,,,
img_904_1,,,,,,,,,,
img_904_2,,,,,,,,,,
img_904_3,,,,,,,,,,
img_904_4,,,,,,,,,,
img_904_5,,,,,,,,,,
img_904_6,,,,,,,,,,
img_904_7,,,,,,,,,,
img_905_1,,,,,,,,,,
img_905_2,,,,,,,,,,
img_905_3,,,,,,,,,,
img_905_4,,,,,,,,,,
img_905_5,,,,,,,,,,
img_905_6,,,,,,,,,,
img_905_7,,,,,,,,,,
img_906_1,,,,,,,,,,
img_906_2,,,,,,,,,,
img_906_3,,,,,,,,,,
img_906_4,,,,,,,,,,
img_906_5,,,,,,,,,,
img_906_6,,,,,,,,,,
img_906_7,,,,,,,,,,
img_907_1,,,,,,,,,,
img_907_2,,,,,,,,,,
img_907_3,,,,,,,,,,
img_907_4,,,,,,,,,,
img_907_5,,,,,,,,,,
img_907_6,,,,,,,,,,
img_907_7,,,,,,,,,,
img_908_1,,,,,,,,,,
img_908_2,,,,,,,,,,
img_908_3,,,,,,,,,,
img_908_4,,,,,,,,,,
img_908_5,,,,,,,,,,
img_908_6,,,,,,,,,,
img_908_7,,,,,,,,,,
img_909_1,,,,,,,,,,
img_909_2,,,,,,,,,,
img_909_3,,,,,,,,,,
img_909_4,,,,,,,,,,
img_909_5,,,,,,,,,,
img_909_6,,,,,,,,,,
img_909_7,,,,,,,,,,
img_910_1,,,,,,,,,,
img_910_2,,,,,,,,,,
img_910_3,,,,,,,,,,
img_910_4,,,,,,,,,,
img_910_5,,,,,,,,,,
img_910_6,,,,,,,,,,
img_910_7,,,,,,,,,,
img_911_1,,,,,,,,,,
img_911_2,,,,,,,,,,
img_911_3,,,,,,,,,,
img_911_4,,,,,,,,,,
img_911_5,,,,,,,,,,
img_911_6,,,,,,,,,,
img_911_7,,,,,,,,,,
img_912_1,,,,,,,,,,
img_912_2,,,,,,,,,,
img_912_3,,,,,,,,,,
img_912_4,,,,,,,,,,
img_912_5,,,,,,,,,,
img_912_6,,,,,,,,,,
img_912_7,,,,,,,,,,
img_913_1,,,,,,,,,,
img_913_2,,,,,,,,,,
img_913_3,,,,,,,,,,
img_913_4,,,,,,,,,,
img_913_5,,,,,,,,,,
img_913_6,,,,,,,,,,
img_913_7,,,,,,,,,,
img_914_1,,,,,,,,,,
img_914_2,,,,,,,,,,
img_914_3,,,,,,,,,,
img_914_4,,,,,,,,,,
img_914_5,,,,,,,,,,
img_914_6,,,,,,,,,,
img_914_7,,,,,,,,,,
img_915_1,,,,,,,,,,
img_915_2,,,,,,,,,,
img_915_3,,,,,,,,,,
img_915_4,,,,,,,,,,
img_915_5,,,,,,,,,,
img_915_6,,,,,,,,,,
img_915_7,,,,,,,,,,
img_917_1,,,,,,,,,,
img_917_2,,,,,,,,,,
img_917_3,,,,,,,,,,
img_917_4,,,,,,,,,,
img_917_5,,,,,,,,,,
img_917_6,,,,,,,,,,
img_917_7,,,,,,,,,,
img_918_1,,,,,,,,,,
img_918_2,,,,,,,,,,
img_918_3,,,,,,,,,,
img_918_4,,,,,,,,,,
img_918_5,,,,,,,,,,
img_918_6,,,,,,,,,,
img_918_7,,,,,,,,,,
img_919_1,,,,,,,,,,
img_919_2,,,,,,,,,,
img_919_3,,,,,,,,,,
img_919_4,,,,,,,,,,
img_919_5,,,,,,,,,,
img_919_6,,,,,,,,,,
img_919_7,,,,,,,,,,
img_920_1,,,,,,,,,,
img_920_2,,,,,,,,,,
img_920_3,,,,,,,,,,
img_920_4,,,,,,,,,,
img_920_5,,,,,,,,,,
img_920_6,,,,,,,,,,
img_920_7,,,,,,,,,,
img_921_1,,,,,,,,,,
img_921_2,,,,,,,,,,
img_921_3,,,,,,,,,,
img_921_4,,,,,,,,,,
img_921_5,,,,,,,,,,
img_921_6,,,,,,,,,,
img_921_7,,,,,,,,,,
img_922_1,,,,,,,,,,
img_922_2,,,,,,,,,,
img_922_3,,,,,,,,,,
img_922_4,,,,,,,,,,
img_922_5,,,,,,,,,,
img_922_6,,,,,,,,,,
img_922_7,,,,,,,,,,
img_923_1,,,,,,,,,,
img_923_2,,,,,,,,,,
img_923_3,,,,,,,,,,
img_923_4,,,,,,,,,,
img_923_5,,,,,,,,,,
